file;run;n;m;objective;time
rec31.txt;19;50;10;3053;14
rec33.txt;0;50;10;3114;18
rec33.txt;1;50;10;3114;15
rec33.txt;2;50;10;3114;18
rec33.txt;3;50;10;3114;17
rec33.txt;4;50;10;3114;16
rec33.txt;5;50;10;3114;16
rec33.txt;6;50;10;3114;14
rec33.txt;7;50;10;3114;22
rec33.txt;8;50;10;3114;19
rec33.txt;9;50;10;3114;14
rec33.txt;10;50;10;3114;16
rec33.txt;11;50;10;3114;14
rec33.txt;12;50;10;3114;18
rec33.txt;13;50;10;3114;15
rec33.txt;14;50;10;3114;16
rec33.txt;15;50;10;3114;15
rec33.txt;16;50;10;3114;14
rec33.txt;17;50;10;3114;16
rec33.txt;18;50;10;3114;17
rec33.txt;19;50;10;3114;17
rec35.txt;0;50;10;3277;14
rec35.txt;1;50;10;3277;15
rec35.txt;2;50;10;3277;15
rec35.txt;3;50;10;3277;14
rec35.txt;4;50;10;3277;15
rec35.txt;5;50;10;3277;14
rec35.txt;6;50;10;3277;15
rec35.txt;7;50;10;3277;15
rec35.txt;8;50;10;3277;14
rec35.txt;9;50;10;3277;15
rec35.txt;10;50;10;3277;14
rec35.txt;11;50;10;3277;15
rec35.txt;12;50;10;3277;14
rec35.txt;13;50;10;3277;15
rec35.txt;14;50;10;3277;14
rec35.txt;15;50;10;3277;15
rec35.txt;16;50;10;3277;15
rec35.txt;17;50;10;3277;14
rec35.txt;18;50;10;3277;15
rec35.txt;19;50;10;3277;14
rec37.txt;0;75;20;4979;139
rec37.txt;1;75;20;4996;133
rec37.txt;2;75;20;4972;171
rec37.txt;3;75;20;5010;160
rec37.txt;4;75;20;5002;192
rec37.txt;5;75;20;4984;173
rec37.txt;6;75;20;4991;194
rec37.txt;7;75;20;4988;148
rec37.txt;8;75;20;4995;152
rec37.txt;9;75;20;4988;140
rec37.txt;10;75;20;4993;149
rec37.txt;11;75;20;4982;148
rec37.txt;12;75;20;5001;125
rec37.txt;13;75;20;4994;151
rec37.txt;14;75;20;4974;188
rec37.txt;15;75;20;5010;145
rec37.txt;16;75;20;4966;183
rec37.txt;17;75;20;4989;145
rec37.txt;18;75;20;4973;159
rec37.txt;19;75;20;4982;119
rec39.txt;0;75;20;5120;125
rec39.txt;1;75;20;5122;129
rec39.txt;2;75;20;5121;110
rec39.txt;3;75;20;5128;84
rec39.txt;4;75;20;5120;111
rec39.txt;5;75;20;5122;120
rec39.txt;6;75;20;5132;92
rec39.txt;7;75;20;5120;156
rec39.txt;8;75;20;5128;92
rec39.txt;9;75;20;5120;102
rec39.txt;10;75;20;5122;105
rec39.txt;11;75;20;5120;132
rec39.txt;12;75;20;5128;123
rec39.txt;13;75;20;5120;86
rec39.txt;14;75;20;5120;98
rec39.txt;15;75;20;5122;139
rec39.txt;16;75;20;5120;147
rec39.txt;17;75;20;5120;112
rec39.txt;18;75;20;5120;110
rec39.txt;19;75;20;5120;168
rec41.txt;0;75;20;5001;154
rec41.txt;1;75;20;5017;158
rec41.txt;2;75;20;4993;153
rec41.txt;3;75;20;4985;204
rec41.txt;4;75;20;4988;202
rec41.txt;5;75;20;5001;212
rec41.txt;6;75;20;4990;123
rec41.txt;7;75;20;4978;128
rec41.txt;8;75;20;4987;138
rec41.txt;9;75;20;4982;137
rec41.txt;10;75;20;4975;198
rec41.txt;11;75;20;4995;163
rec41.txt;12;75;20;4990;159
rec41.txt;13;75;20;4993;124
rec41.txt;14;75;20;4994;218
rec41.txt;15;75;20;4978;215
rec41.txt;16;75;20;4990;174
rec41.txt;17;75;20;5018;130
rec41.txt;18;75;20;4983;181
rec41.txt;19;75;20;4991;157
