file;run;n;m;objective;time
ta56.txt;4;50;20;5873;17
ta56.txt;5;50;20;5863;12
ta56.txt;6;50;20;5866;26
ta56.txt;7;50;20;5866;15
ta56.txt;8;50;20;5874;12
ta56.txt;9;50;20;5875;16
ta56.txt;10;50;20;5863;18
ta56.txt;11;50;20;5872;16
ta56.txt;12;50;20;5875;14
ta56.txt;13;50;20;5875;12
ta56.txt;14;50;20;5863;24
ta56.txt;15;50;20;5873;8
ta56.txt;16;50;20;5873;15
ta56.txt;17;50;20;5871;14
ta56.txt;18;50;20;5875;17
ta56.txt;19;50;20;5866;14
ta57.txt;0;50;20;5966;19
ta57.txt;1;50;20;5966;10
ta57.txt;2;50;20;5964;18
ta57.txt;3;50;20;5966;10
ta57.txt;4;50;20;5970;14
ta57.txt;5;50;20;5968;6
ta57.txt;6;50;20;5966;14
ta57.txt;7;50;20;5966;12
ta57.txt;8;50;20;5966;12
ta57.txt;9;50;20;5966;14
ta57.txt;10;50;20;5966;14
ta57.txt;11;50;20;5966;10
ta57.txt;12;50;20;5966;12
ta57.txt;13;50;20;5966;8
ta57.txt;14;50;20;5968;12
ta57.txt;15;50;20;5966;14
ta57.txt;16;50;20;5967;10
ta57.txt;17;50;20;5966;10
ta57.txt;18;50;20;5966;12
ta57.txt;19;50;20;5962;14
ta58.txt;0;50;20;5927;10
ta58.txt;1;50;20;5927;8
ta58.txt;2;50;20;5927;8
ta58.txt;3;50;20;5927;8
ta58.txt;4;50;20;5927;10
ta58.txt;5;50;20;5932;14
ta58.txt;6;50;20;5937;15
ta58.txt;7;50;20;5928;8
ta58.txt;8;50;20;5928;14
ta58.txt;9;50;20;5928;8
ta58.txt;10;50;20;5932;8
ta58.txt;11;50;20;5939;17
ta58.txt;12;50;20;5927;14
ta58.txt;13;50;20;5932;10
ta58.txt;14;50;20;5940;8
ta58.txt;15;50;20;5926;14
ta58.txt;16;50;20;5927;10
ta58.txt;17;50;20;5927;8
ta58.txt;18;50;20;5927;14
ta58.txt;19;50;20;5936;16
ta59.txt;0;50;20;5876;10
ta59.txt;1;50;20;5876;10
ta59.txt;2;50;20;5876;8
ta59.txt;3;50;20;5876;10
ta59.txt;4;50;20;5876;10
ta59.txt;5;50;20;5876;8
ta59.txt;6;50;20;5876;7
ta59.txt;7;50;20;5876;7
ta59.txt;8;50;20;5876;15
ta59.txt;9;50;20;5876;8
ta59.txt;10;50;20;5876;10
ta59.txt;11;50;20;5876;7
ta59.txt;12;50;20;5876;8
ta59.txt;13;50;20;5876;10
ta59.txt;14;50;20;5876;8
ta59.txt;15;50;20;5876;12
ta59.txt;16;50;20;5876;10
ta59.txt;17;50;20;5876;10
ta59.txt;18;50;20;5876;10
ta59.txt;19;50;20;5876;8
ta60.txt;0;50;20;5958;10
ta60.txt;1;50;20;5958;10
ta60.txt;2;50;20;5958;10
ta60.txt;3;50;20;5958;12
ta60.txt;4;50;20;5958;12
ta60.txt;5;50;20;5958;12
ta60.txt;6;50;20;5958;8
ta60.txt;7;50;20;5958;12
ta60.txt;8;50;20;5962;7
ta60.txt;9;50;20;5958;10
ta60.txt;10;50;20;5958;10
ta60.txt;11;50;20;5964;8
ta60.txt;12;50;20;5958;10
ta60.txt;13;50;20;5957;19
ta60.txt;14;50;20;5958;8
ta60.txt;15;50;20;5957;12
ta60.txt;16;50;20;5958;8
ta60.txt;17;50;20;5958;8
ta60.txt;18;50;20;5958;10
ta60.txt;19;50;20;5958;13

ta71.txt;0;100;10;8076;100
ta71.txt;1;100;10;8083;68
ta71.txt;2;100;10;8098;76
ta71.txt;3;100;10;8092;62
ta71.txt;4;100;10;8087;73
ta71.txt;5;100;10;8087;69
ta71.txt;6;100;10;8091;57
ta71.txt;7;100;10;8088;73
ta71.txt;8;100;10;8087;83
ta71.txt;9;100;10;8090;61
ta71.txt;10;100;10;8088;63
ta71.txt;11;100;10;8086;66
ta71.txt;12;100;10;8079;106
ta71.txt;13;100;10;8087;73
ta71.txt;14;100;10;8091;57
ta71.txt;15;100;10;8081;97
ta71.txt;16;100;10;8091;81
ta71.txt;17;100;10;8095;62
ta71.txt;18;100;10;8079;52
ta71.txt;19;100;10;8085;66

ta72.txt;0;100;10;7886;80
ta72.txt;1;100;10;7897;65
ta72.txt;2;100;10;7913;64
ta72.txt;3;100;10;7909;62
ta72.txt;4;100;10;7894;65
ta72.txt;5;100;10;7884;74
ta72.txt;6;100;10;7919;60
ta72.txt;7;100;10;7886;87
ta72.txt;8;100;10;7918;59
ta72.txt;9;100;10;7893;79
ta72.txt;10;100;10;7920;52
